incident|done|urn:li:incident:163ae9e1-c0de-463f-aa95-732812cac358|2026-07-29T08:28:50.308Z|2026-07-29T08:56:27.024Z
enqueue|done|{"work_item_id":"WORK_ms5tp6s6a2whji","assignment_id":"ASG_m|2026-07-29T08:28:50.370Z|2026-07-29T08:28:50.458Z
oid|done|615dabfb4836a8f194e72329c30faee322127172|2026-07-29T08:46:35.678Z|2026-07-29T08:46:36.216Z
ci|done|green|2026-07-29T08:46:36.216Z|2026-07-29T08:46:38.066Z
candidate|done|valid|2026-07-29T08:46:38.066Z|2026-07-29T08:47:09.618Z
merge|done|1974c0805161cf0e96b4c0b7785adebeea049a4f|2026-07-29T08:47:09.618Z|2026-07-29T08:47:13.517Z
gate-close|done|gate_ms5ubq805r0qbe|2026-07-29T08:47:13.518Z|2026-07-29T08:47:13.519Z
postmerge|done|fresh-green|2026-07-29T08:49:41.913Z|2026-07-29T08:50:13.953Z
resolve|done|urn:li:incident:163ae9e1-c0de-463f-aa95-732812cac358|2026-07-29T08:50:13.953Z|2026-07-29T08:50:13.998Z
document|done|urn:li:document:59a3a8fb-30a7-4053-bdf0-200bc6232759|2026-07-29T08:50:14.695Z|2026-07-29T08:50:14.792Z
